R_in,G_in,B_in,R_out,G_out,B_out
428.266621,531.319591,453.376388,0.206681,0.314462,0.216316
457.482199,547.974386,475.719979,0.232114,0.355384,0.258508
348.209978,304.748475,262.006944,0.047439,0.05449,0.049979
337.648988,485.180488,422.126879,0.126098,0.208418,0.156599
410.894052,460.854037,443.850944,0.164255,0.189733,0.173524
245.385277,448.256711,344.525603,0.05533,0.141823,0.098844
300.920843,348.716802,316.078746,0.052531,0.070286,0.061392
519.182837,516.057933,485.853331,0.266089,0.31998,0.284785
570.413584,611.759424,585.769626,0.490948,0.660812,0.587897
291.779945,398.888154,369.544047,0.060386,0.104252,0.097672
442.488654,576.809807,540.509564,0.272349,0.45044,0.405545
542.552573,592.097627,578.772845,0.451106,0.570908,0.554148
200.428628,365.500963,347.020526,0.034686,0.076565,0.079334
363.282175,545.334717,514.118521,0.153385,0.334506,0.304563
364.875292,497.492265,482.211182,0.123758,0.241207,0.234323
464.859416,572.328229,548.862761,0.306732,0.452343,0.427319
473.687174,573.852204,552.289005,0.336231,0.454488,0.439527
210.235428,507.83328,495.843113,0.089715,0.220214,0.240881
323.49463,525.021319,534.343538,0.158225,0.288163,0.328556
543.4696,594.359962,601.124333,0.438047,0.587352,0.630607
311.817134,438.203681,451.558364,0.100655,0.146972,0.164659
320.905002,478.41651,523.931618,0.124884,0.21503,0.30443
551.314555,590.378905,602.845446,0.448687,0.576499,0.638101
444.266525,528.982494,543.411169,0.253698,0.332702,0.382607
433.086212,551.484406,590.101759,0.23925,0.382271,0.509751
321.262728,470.4087,551.791632,0.133351,0.210256,0.359435
475.81052,558.501168,585.450686,0.32341,0.423381,0.538625
156.934694,433.741501,577.49499,0.078975,0.141848,0.335885
214.384703,378.890279,464.465967,0.058851,0.089438,0.160736
601.986866,575.57942,599.804059,0.498195,0.544687,0.632655
495.141053,454.331185,497.391944,0.175689,0.198397,0.26764
267.972428,487.500773,592.488542,0.141403,0.220908,0.434092
201.641521,286.08673,397.071891,0.039548,0.050835,0.104206
396.355594,465.531511,569.442803,0.161531,0.21079,0.396817
585.591119,584.902298,620.863855,0.551448,0.591635,0.735023
371.664343,461.062505,587.258168,0.172015,0.215806,0.466904
372.161555,403.509054,485.039001,0.117281,0.12855,0.212972
298.405996,399.352947,555.098123,0.109672,0.127845,0.336692
306.452669,402.495477,513.808591,0.103422,0.118235,0.214592
489.227621,505.110933,593.058442,0.293274,0.32137,0.532503
420.198672,418.719242,570.839636,0.137726,0.159532,0.414967
523.299665,538.127161,603.842006,0.372371,0.397769,0.610985
278.870699,265.822871,363.452343,0.046959,0.048801,0.087126
227.2789,270.031368,485.010235,0.05154,0.052635,0.166833
420.846926,458.262699,520.899441,0.185725,0.199383,0.285372
526.017766,541.705011,601.181826,0.38989,0.408113,0.595464
264.465834,309.959577,536.682196,0.082252,0.070679,0.256009
368.831631,399.610453,553.059726,0.137446,0.133625,0.340032
475.08128,451.699529,558.231416,0.207329,0.202635,0.362955
352.913862,349.479408,510.282874,0.097739,0.089099,0.243686
512.413635,490.822052,587.731966,0.312024,0.301374,0.528249
519.566809,265.557267,510.245422,0.109392,0.0628,0.255925
524.953664,464.326294,551.922043,0.267514,0.239001,0.394677
608.899183,579.41914,611.830598,0.599535,0.577497,0.710597
532.239971,395.577922,515.320911,0.175312,0.134181,0.272434
590.863503,493.468634,608.318783,0.40792,0.326424,0.622829
474.090203,423.476778,535.386155,0.206162,0.167157,0.300518
496.203887,437.085765,587.491609,0.256396,0.204703,0.488584
413.148051,290.285953,442.569467,0.088715,0.062622,0.149027
602.16595,547.073024,607.599703,0.521232,0.462461,0.673258
253.010063,162.355578,250.015306,0.022101,0.014768,0.03083
572.527946,310.602935,496.065288,0.156833,0.076141,0.235328
457.684339,289.612336,421.609308,0.098176,0.06171,0.130126
568.381102,350.342515,538.277084,0.230273,0.117986,0.343097
573.362312,420.674292,540.975273,0.269201,0.180339,0.348334
593.119361,417.662151,563.534648,0.323644,0.196878,0.439983
565.900008,259.275738,446.614069,0.150277,0.059578,0.16157
489.486866,425.112747,476.212462,0.226773,0.173876,0.218357
599.90607,481.269478,568.454598,0.473309,0.303295,0.47372
623.601004,485.270785,550.111212,0.435939,0.299997,0.415413
626.849796,577.165606,595.520305,0.649233,0.564778,0.630338
503.318261,381.062528,441.09256,0.174411,0.119958,0.166316
663.472501,450.757539,575.018215,0.574232,0.272397,0.492773
637.116006,393.72226,495.489934,0.351196,0.159129,0.263471
651.53098,556.760142,589.580655,0.692434,0.520599,0.624902
542.63728,209.765234,346.915924,0.125255,0.039124,0.070525
620.914601,419.640654,504.051357,0.348854,0.187928,0.28104
614.554331,514.222451,557.711949,0.512403,0.367146,0.429753
670.202305,465.576621,541.775778,0.622931,0.29773,0.393985
649.81604,511.306917,546.551659,0.587073,0.378141,0.427471
581.184408,520.550891,529.232831,0.429056,0.362473,0.3733
498.584051,242.306029,374.609207,0.127327,0.051864,0.074943
669.790495,559.917402,573.891903,0.763217,0.527954,0.538325
637.670301,217.425604,406.031062,0.237333,0.049786,0.113641
636.724057,445.55445,541.472003,0.480653,0.250983,0.393361
445,445,445,0.18,0.18,0.18
196.662142,179.818138,241.275342,0.018841,0.017791,0.019423
370.011461,371.303732,347.307818,0.089758,0.089562,0.089339
644.596849,633.328606,612.161773,0.784236,0.780417,0.777937
467.585169,463.328435,454.782963,0.199501,0.1995,0.199501
611.022796,596.623134,578.201043,0.591418,0.590734,0.585477
567.715116,556.436713,542.945661,0.42731,0.42766,0.424802
523.366936,514.610311,500.789276,0.299649,0.299124,0.295093
464.671397,462.391617,455.928334,0.195986,0.195653,0.194506
395.88291,397.931072,387.648585,0.112552,0.113023,0.112833
330.136475,329.734933,306.895335,0.064812,0.065393,0.065338
243.632076,214.417789,252.786754,0.030547,0.030455,0.03083
585.764777,452.362078,383.097225,0.28192,0.200071,0.130593
578.401544,421.267396,314.689587,0.237955,0.156194,0.086903
576.512015,483.383005,445.066091,0.309655,0.251724,0.201944
518.307302,397.86157,316.814529,0.169786,0.123797,0.083703
407.501963,320.358603,269.50163,0.086665,0.067237,0.052178
641.413633,542.3577,506.391895,0.514605,0.408889,0.349397
616.187825,480.408344,449.788765,0.373264,0.263295,0.217915
340.92807,256.660378,238.105585,0.050062,0.041956,0.031546
677.025792,296.482003,383.324438,0.348055,0.096706,0.11198
622.402227,536.000985,508.558844,0.520643,0.38355,0.333227
630.477554,394.566293,401.976795,0.346638,0.153465,0.13692
544.120646,200.977117,250.499529,0.086418,0.03085,0.034399
659.949674,193.941708,331.521339,0.170195,0.028769,0.040263
680.275311,446.014502,431.647055,0.515445,0.230291,0.185505
607.124163,262.074952,269.9039,0.167091,0.055526,0.050353
543.131072,239.254289,254.823956,0.102216,0.04325,0.03943
667.094039,287.555448,264.725038,0.270876,0.074992,0.050721
691.45467,365.764677,319.044515,0.456331,0.14592,0.07531
574.067802,181.065916,217.244214,0.099896,0.023726,0.023341
680.475134,269.804505,280.24167,0.318998,0.082626,0.049617
654.660014,523.193522,472.737183,0.583345,0.360626,0.258155
681.793961,368.887755,325.644329,0.391988,0.134717,0.083771
473.80131,176.811173,291.930546,0.071712,0.022251,0.024941
339.420898,166.044677,307.97585,0.037614,0.01679,0.018263
583.669175,396.244866,342.503501,0.282732,0.145042,0.092911
671.875724,217.190779,197.237624,0.260918,0.053273,0.019643
673.166103,359.826942,262.977396,0.377823,0.13043,0.055938
599.332588,199.658889,199.168835,0.139717,0.033929,0.018416
621.328444,294.370945,236.836565,0.249092,0.083243,0.038979
645.557601,475.665094,415.661856,0.434642,0.258098,0.16695
668.980177,421.372439,310.061109,0.406493,0.180261,0.067147
666.231912,568.95513,503.253531,0.688358,0.497064,0.35142
595.565026,351.376816,292.455812,0.250424,0.108855,0.038198
518.457019,447.716142,380.561282,0.240215,0.181886,0.1201
550.195282,438.096278,332.680865,0.265919,0.174458,0.088561
543.248524,271.764559,180.949644,0.148149,0.059967,0.017032
674.775613,523.133532,345.265764,0.592375,0.342329,0.111357
470.949901,295.789321,251.113445,0.111536,0.065649,0.034578
666.781388,462.374823,238.749485,0.474936,0.237846,0.051183
611.810413,471.981366,257.163911,0.370537,0.232124,0.061022
521.455841,441.214808,341.562297,0.217282,0.173252,0.1011
649.185717,441.176373,193.774066,0.371854,0.20482,0.032479
672.743195,599.853023,485.629456,0.739379,0.595445,0.324962
628.249059,533.7317,382.29454,0.473922,0.357459,0.140407
567.436141,397.916754,185.677457,0.21884,0.138564,0.025418
646.219273,551.454416,296.070388,0.521032,0.394715,0.092632
382.057628,359.613013,299.502467,0.089563,0.083953,0.06658
647.276974,550.011992,250.278069,0.517108,0.391628,0.065256
553.070055,499.856503,438.75288,0.303567,0.275036,0.19569
602.599804,537.162407,373.793304,0.403637,0.362257,0.146221
635.538701,576.683156,399.168424,0.531999,0.480883,0.169891
642.592514,621.643066,425.449434,0.675683,0.641643,0.215023
647.892278,531.005212,198.859341,0.48187,0.3464,0.036656
675.059609,616.715701,275.344634,0.677147,0.621748,0.095092
549.627147,508.428195,397.075861,0.306882,0.285091,0.150038
670.338094,647.063171,561.384283,0.835537,0.809672,0.544729
615.476301,596.676513,544.241923,0.573718,0.563604,0.434105
680.437771,625.412462,315.846388,0.701265,0.648442,0.124895
478.388261,387.318669,326.311723,0.114901,0.105318,0.070012
611.997214,560.709886,304.830534,0.433625,0.409995,0.101604
673.66657,638.674538,451.139789,0.74407,0.731384,0.263877
558.194573,519.968631,389.462819,0.297675,0.297999,0.142215
557.81869,531.388979,330.791746,0.298942,0.312985,0.103246
628.865254,609.21279,335.2702,0.537375,0.570586,0.138344
453.231184,469.369407,260.425585,0.172253,0.190635,0.053313
656.203727,639.807592,452.19963,0.672665,0.730121,0.267358
634.044947,624.715956,332.499151,0.53424,0.631697,0.121234
425.337617,428.669113,273.055731,0.113673,0.133654,0.050177
256.68,308.07957,232.653622,0.039831,0.048083,0.025034
369.922542,471.992757,250.166783,0.12517,0.171756,0.041966
554.972848,579.313359,333.146917,0.346814,0.442016,0.124737
342.287996,402.943457,269.97779,0.083399,0.103965,0.04823
373.832105,431.568976,275.705497,0.101593,0.128974,0.055085
448.053025,517.163795,378.725086,0.208142,0.258087,0.117444
266.249766,367.774793,250.90535,0.049506,0.069375,0.030576
272.181573,387.717806,258.092364,0.056498,0.082108,0.034588
296.555949,404.103394,255.814939,0.070514,0.096768,0.036341
305.910736,375.83019,263.058243,0.064226,0.080422,0.039923
342.26665,418.762315,275.434401,0.088247,0.114164,0.050829
430.305948,428.70946,252.127654,0.101819,0.13732,0.045713
417.328286,479.612231,228.929868,0.119897,0.195331,0.042182
431.07282,525.516016,235.458029,0.14299,0.270853,0.050797
573.437402,606.356527,472.097211,0.418792,0.576908,0.288362
497.662108,578.864658,368.092101,0.24216,0.426166,0.140926
381.881782,547.415446,339.427932,0.165337,0.304792,0.115062
348.401573,491.110338,317.534324,0.11505,0.20331,0.086821
352.537322,521.448392,339.403898,0.136626,0.25068,0.101658
484.36197,574.279616,464.492662,0.292152,0.426689,0.243869
415.469404,481.192588,368.004265,0.129682,0.203416,0.102971
282.180831,388.810095,253.83779,0.038739,0.088558,0.036811
192.996759,483.863798,298.34659,0.056521,0.148936,0.059667
328.087184,498.627279,376.149993,0.115044,0.216207,0.12513
321.740196,422.074703,329.63237,0.082691,0.125771,0.0864
196.241148,360.035987,262.980218,0.026392,0.067586,0.035621
428.750836,534.628764,455.887175,0.206681,0.314462,0.216316
457.324817,550.630821,477.011232,0.232114,0.355384,0.258508
354.001548,307.078005,276.399687,0.047439,0.05449,0.049979
338.148428,488.3978,429.404634,0.126098,0.208418,0.156599
411.512631,461.878853,443.755809,0.164255,0.189733,0.173524
244.503944,453.039845,356.256118,0.05533,0.141823,0.098844
302.662807,350.834367,326.741157,0.052531,0.070286,0.061392
520.288017,519.068397,485.065225,0.266089,0.31998,0.284785
571.789736,615.91272,581.302664,0.490948,0.660812,0.587897
294.029193,401.159425,378.036923,0.060386,0.104252,0.097672
442.243975,580.366795,538.988177,0.272349,0.45044,0.405545
543.835155,595.948186,576.193841,0.451106,0.570908,0.554148
199.333438,370.485348,363.945728,0.034686,0.076565,0.079334
363.084988,548.346224,513.891889,0.153385,0.334506,0.304563
366.239804,500.286303,483.064051,0.123758,0.241207,0.234323
465.172218,575.610863,547.580793,0.306732,0.452343,0.427319
472.579547,576.844998,550.232753,0.336231,0.454488,0.439527
204.970142,514.035119,499.389938,0.089715,0.220214,0.240881
320.649908,527.905093,534.554304,0.158225,0.288163,0.328556
542.669015,596.604687,596.781138,0.438047,0.587352,0.630607
312.064186,440.583579,456.107222,0.100655,0.146972,0.164659
319.207516,479.038938,523.875746,0.124884,0.21503,0.30443
551.403258,593.29419,599.88884,0.448687,0.576499,0.638101
444.483308,531.050042,541.992121,0.253698,0.332702,0.382607
432.410415,553.580638,586.224516,0.23925,0.382271,0.509751
320.078467,471.482225,551.48336,0.133351,0.210256,0.359435
474.349405,559.829672,580.608964,0.32341,0.423381,0.538625
149.903098,439.261426,578.865879,0.078975,0.141848,0.335885
212.277367,381.082486,469.818404,0.058851,0.089438,0.160736
602.039755,578.022923,592.674727,0.498195,0.544687,0.632655
496.776038,456.494621,494.849328,0.175689,0.198397,0.26764
262.79015,488.966786,588.832249,0.141403,0.220908,0.434092
198.25027,286.832624,405.336109,0.039548,0.050835,0.104206
395.332585,464.661345,565.150226,0.161531,0.21079,0.396817
583.964933,586.255229,612.00354,0.551448,0.591635,0.735023
370.278623,460.275835,581.677467,0.172015,0.215806,0.466904
371.820592,402.196682,484.182897,0.117281,0.12855,0.212972
297.300969,397.588512,553.009676,0.109672,0.127845,0.336692
304.72644,400.479936,510.82044,0.103422,0.118235,0.214592
486.833114,503.751404,583.702426,0.293274,0.32137,0.532503
422.198259,417.755464,565.665173,0.137726,0.159532,0.414967
521.550088,538.815912,596.56781,0.372371,0.397769,0.610985
280.885173,265.50409,370.987631,0.046959,0.048801,0.087126
226.85125,269.006983,488.748317,0.05154,0.052635,0.166833
420.139935,458.231937,518.38586,0.185725,0.199383,0.285372
523.719233,540.828153,593.30955,0.38989,0.408113,0.595464
263.20242,307.122434,534.900565,0.082252,0.070679,0.256009
368.724096,398.107296,550.39876,0.137446,0.133625,0.340032
475.635442,451.569615,553.171692,0.207329,0.202635,0.362955
354.528707,347.522718,509.912798,0.097739,0.089099,0.243686
512.302035,491.990578,582.924355,0.312024,0.301374,0.528249
525.690462,264.146371,510.195467,0.109392,0.0628,0.255925
526.611082,465.077568,547.784782,0.267514,0.239001,0.394677
609.802958,582.355755,606.29869,0.599535,0.577497,0.710597
535.75892,395.9934,511.995664,0.175312,0.134181,0.272434
592.141737,495.502751,600.360554,0.40792,0.326424,0.622829
474.75097,423.893276,530.319856,0.206162,0.167157,0.300518
493.992813,433.880277,577.242206,0.256396,0.204703,0.488584
